Ҳудуд ва банк номи,Банк номи,2024 йил Импорт шартнома сони,2024 йил Экспорт шартнома сони,2024 йил Импорт учун тўлов,2024 йил Экспорт тушуми,"Дебиторка 2024 йил 31 декабрь ҳолатига 
(минг долл)",2025 йил Ипморт шартнома сони,2025 йил Экспорт шартнома сони,2025 йил Импорт учун тўлов ,2025 йил Экспорт тушуми ,2025 йил ҳудуддаги банкларда экспорт шартнома сони,2025 йил ҳудуддаги банкларда экспорт тушум ,2025 йил ҳудуддаги банкларда импорт шартнома сони,2025 йил ҳудуддаги банкларда импорт тўлов ,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт тушум,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт тўлови ,"2025 йил бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларда экспорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган,   ҳудуддаги банкларида экспорт тушуми ","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт тўлови",2025 йил давомида  Россия Федерацияси Экспорт тушуми Шартнома сони,2025 йил давомида  Россия Федерацияси Экспорт тушуми Суммаси,2025 йил давомида  Россия Федерацияси Импорт тўлови Шартнома сони,2025 йил давомида  Россия Федерацияси Импорт тўлови Суммаси,2025 йил давомида  Хитой Экспорт тушуми Шартнома сони,2025 йил давомида  Хитой Экспорт тушуми Суммаси,2025 йил давомида  Хитой Импорт тўлови Шартнома сони,2025 йил давомида  Хитой Импорт тўлови Суммаси,2025 йил давомида  Қозиғистон Экспорт тушуми Шартнома сони,2025 йил давомида  Қозиғистон Экспорт тушуми Суммаси,2025 йил давомида  Қозиғистон Импорт тўлови Шартнома сони,2025 йил давомида  Қозиғистон Импорт тўлови Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Суммаси,2025 йил давомида  Туркия Экспорт тушуми Шартнома сони,2025 йил давомида  Туркия Экспорт тушуми Суммаси,2025 йил давомида  Туркия Импорт тўлови Шартнома сони,2025 йил давомида  Туркия Импорт тўлови Суммаси,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Шартнома сони,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Суммаси,2025 йил давомида  Бошқа давлатлар Импорт тўлови Шартнома сони,2025 йил давомида  Бошқа давлатлар Импорт тўлови Суммаси,"Дебиторка 2025 йил 31 декабрь ҳолатига 
(минг долл)",Белгиланган тоифа,2025 йилда ҳудуддаги улуши (фоизда),2025 йил давомида олинган банк даромади (минг сўмда),Мавжуд ходимлар,Банк манзили,Банк раҳбарлари,Банк раҳбарларининг тел рақами,,№,Сохалар,2025 йил экспорт сони,2025 йил экспорт сумма,2025 йил импорт сони,2025 йил импорт сумма,,№,Ҳудуд номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт  тушуми  Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони, Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси,,№,Банк номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,70,"8,153,659",78,"9,478,849",0,0,0,0,35,"4,658,883",3,"839,914",1,"180,885",48,"4,967,122",3,"166,870",1,"136,559",,,1,"23,600",1,"20,500",8,"720,882",30,"3,126,522",17,"2,790,772",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,1,6,"30,900","1,166,338",4,0,1,0,"630,528",,,,,170,"18,970,194",233,"23,678,664",0,0,0,0,55,"8,999,639",20,"1,241,935",8,"1,278,614",141,"14,108,910",16,"986,780",5,"469,058",,,2,"57,000",6,"537,163",19,"1,847,116",85,"7,167,998",46,"5,954,646",7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,2,0,"34,712",,,,,59,"23,990,909",11,"1,083,532",0,0,0,0,17,"96,651",2,"5,678",,,1,"42,000",33,"23,608,189",2,"22,904",,,1,"295,000",,,3,"696,150",9,"286,069",2,"21,800",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"1,648,115",11,"191,148",0,0,0,0,1,"20,520",,,,,,,,,,,,,,,,,,,5,"1,627,595",11,"191,148",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,328,"98,180,807",351,"53,841,787",0,0,0,0,145,"82,175,046",44,"3,147,437",5,"67,962",156,"28,520,462",29,"251,300",7,"306,993",1,"225,613",3,"5,649,383",25,"2,957,430",64,"7,815,336",123,"12,503,457",77,"8,402,176",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,2,,"7,732",,0,1,0,"258,000",0,,,,,55,"29,810,568",125,"6,526,707",0,0,0,0,22,"23,863,706",7,"218,210",,,73,"4,182,056",10,"3,449,205",,,,,1,"39,169",4,"442,017",8,"307,092",19,"2,055,640",36,"1,780,180",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,1,,"19,241",,0,0,0,0,0,,,,,408,"54,459,344","1,203","186,800,578",0,0,0,0,224,"36,483,328",158,"12,251,226",7,"152,812",488,"67,145,391",31,"3,214,119",67,"4,283,477",,,11,"6,228,248",9,"1,796,494",37,"3,812,480",137,"12,812,591",442,"93,079,756",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,55,"17,664,566",60,"9,252,675",0,0,0,0,2,"89,875",1,"53,085",,,33,"3,435,245",,,3,"2,518,780",2,"90,875",2,"148,000",1,"25,875",1,"11,448",50,"17,457,941",20,"3,086,117",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,134,"15,611,761",148,"12,146,884",0,0,0,0,44,"6,769,448",14,"869,174",9,"1,920,164",80,"4,708,416",7,"108,543",13,"3,580,246",,,,,2,"65,000",9,"517,231",72,"6,748,605",32,"2,471,817",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асия аллианс банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,48,"14,825,453",85,"13,977,094",0,0,0,0,17,"13,264,109",9,"1,052,807",1,"107,000",21,"3,807,903",3,"128,567",12,"1,824,844",,,2,"389,886",,,6,"1,764,275",27,"1,325,777",35,"5,137,379",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,68,"9,571,834",123,"11,120,644",0,0,0,0,39,"8,638,148",11,"252,990",1,"10,000",16,"1,443,503",,,1,"1,533",1,"167,788",,,,,7,"517,784",27,"755,899",88,"8,904,833",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,1,0,"21,676",0,,,,,208,"9,651,497",275,"54,980,347",0,0,0,0,47,"4,375,226",26,"1,659,357",,,133,"7,748,428",10,"563,251",7,"1,276,548",1,"6,900",13,"679,293",17,"154,278",28,"729,197",133,"4,551,843",68,"42,887,523",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,1,0,"133,056",0,,,,,28,"703,913",48,"3,057,883",0,0,0,0,,,7,"752,275",,,16,"930,541",4,"160,850",13,"963,769",,,1,"16,000",,,7,"281,920",24,"543,063",4,"113,378",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Бошқа ҳудуд банклари,,,,,0,1,0,"11,904",0,,,,,109,"3,439,165",210,"31,853,096",0,0,0,0,24,"637,307",40,"2,816,924",1,"28,000",73,"8,176,544",6,"138,364",10,"961,187",4,"70,846",7,"2,288,874",2,"71,921",19,"1,996,323",72,"2,492,728",61,"15,613,243",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,62,"19,479,304",63,"10,765,292",0,0,0,0,20,"9,470,210",3,"36,300",1,"18,879",22,"1,844,871",4,"908,264",4,"535,656",7,"313,968",1,"94,910",2,"397,693",2,"196,263",28,"8,370,291",31,"8,057,292",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,30,"12,386,336",102,"19,538,917",0,0,0,0,4,"8,643,555",5,"406,352",3,"153,439",45,"10,916,271",1,"9,945",5,"308,019",2,"814,898",,,,,21,"1,958,096",20,"2,764,498",26,"5,950,178",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,12,,"1,542,158",,1,21,3,"220,310","35,500",,,,,73,"5,874,755",300,"33,406,070",0,0,0,0,43,"4,439,610",10,"11,404,938",,,209,"11,331,393",2,"80,000",4,"83,841",1,"48,116",5,"1,844,546",,,19,"1,186,551",27,"1,307,030",53,"7,554,801",2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"6,998,381",20,"17,887,071",0,0,0,0,2,"6,977,663",,,,,8,"424,757",,,1,"5,350",,,1,"166,653",,,,,4,"20,718",10,"17,290,311",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,23,"28,601,599",34,"3,125,253",0,0,0,0,2,"456,239",8,"271,403",,,19,"1,922,753",9,"576,951",,,,,,,,,1,"5,257",12,"27,568,409",6,"925,840",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,1,,"4,000",,60,0,0,0,0,,,,,48,"5,839,008",160,"17,124,996",0,0,0,0,7,"192,191",6,"110,619",3,"1,820,684",19,"2,163,391",4,"83,291",3,"504,262",1,"9,968",6,"289,987",,,,,33,"3,732,875",126,"14,056,736",60,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алоқабанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,37,"9,482,815",96,"8,476,236",0,0,0,0,11,"2,915,752",5,"260,904",,,21,"2,656,181",2,"46,994",3,"492,133",,,1,"14,510",,,17,"1,615,071",24,"6,520,069",49,"3,437,438",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,1,,"542,000",,0,0,0,0,0,,,,,7,"976,244",28,"6,413,294",0,0,0,0,1,"200,000",2,"104,536",2,"314,634",13,"1,817,238",1,"3,000",3,"254,343",,,,,,,6,"4,193,480",3,"458,610",4,"43,698",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,30,"12,202,198",3,"77,695",0,0,0,0,8,"10,060,229",,,,,3,"77,695",2,"14,000",,,,,,,1,"33,242",,,19,"2,094,728",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,393,"35,274,407",107,"13,573,445",0,0,0,0,81,"19,514,743",31,"2,797,644",6,"150,035",26,"3,187,157",22,"748,220",4,"210,549",1,"9,145",2,"324,923",1,"7,129",5,"172,097",282,"14,845,135",39,"6,881,075",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асия аллианс банк,Бошқа ҳудуд банклари,99,28,"21,700,318","1,952,339",454,80,18,"29,432,303","5,530,940",,,,,179,"22,481,968",819,"149,660,371",0,0,0,0,32,"7,156,718",110,"16,274,175",1,"26,045",269,"24,840,012",52,"3,642,435",62,"6,537,115",2,"988,990",16,"3,335,503",,,58,"3,874,193",92,"10,667,780",304,"94,799,374","1,259",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,6,3,"412,414","50,250",167,0,0,0,0,,,,,292,"92,560,639",422,"53,393,063",0,0,0,0,116,"72,342,242",33,"2,066,289",26,"8,556,279",225,"39,512,197",16,"2,066,403",21,"790,501",2,"14,441",3,"125,832",25,"2,497,260",76,"4,206,660",107,"7,084,013",64,"6,691,583",167,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,46,8,"3,664,785","2,098,495",18,155,7,"10,620,848","215,484",,,,,280,"44,256,071","1,006","93,655,648",0,0,0,0,110,"7,817,820",242,"16,324,366",5,"393,247",315,"19,990,858",27,"12,468,702",88,"12,363,160",3,"361,900",19,"1,149,648",3,"315,886",81,"6,736,657",132,"22,898,516",261,"37,090,959",61,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,31,"3,358,004",63,"14,069,453",0,0,0,0,,,1,"30,860",,,17,"2,355,082",3,"34,425",12,"3,729,212",1,180,,,2,"80,258",21,"1,308,535",25,"3,243,142",12,"6,645,764",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Трастбанк,Бошқа ҳудуд банклари,1,2,"1,166,055","2,793,972",0,3,0,"3,048,632",0,,,,,215,"30,571,198",728,"491,567,407",0,0,0,0,45,"5,730,192",76,"34,244,052",1,"55,200",185,"20,588,729",13,"1,549,131",66,"53,842,448",,,55,"70,246,116",6,"168,998",85,"18,649,621",150,"23,067,678",261,"293,996,440",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алоқабанк,Бошқа ҳудуд банклари,10,2,"4,444,593",0,8,6,0,"1,682,474",0,,,,,100,"15,902,918",150,"14,333,346",0,0,0,0,31,"7,324,111",21,"457,093",,,76,"10,168,642",21,"4,888,476",2,"77,934",,,2,"44,500",,,26,"1,455,505",48,"3,690,332",23,"2,129,672",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Универсалбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,46,"3,765,800",9,"234,829",0,0,0,0,3,"955,554",,,1,"705,600",7,"171,760",12,"779,064",,,,,,,,,1,"38,069",30,"1,325,582",1,"25,000",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"57,240",1,"25,500",0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"57,240",1,"25,500",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инфинбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,102,"4,017,570",627,"107,340,912",0,0,0,0,16,"1,478,235",22,"540,307",,,494,"85,031,024",23,"265,011",20,"10,232,811",,,9,"5,148,432",,,26,"1,805,891",63,"2,274,324",56,"4,582,447",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,17,"1,280,969",25,"1,362,795",0,0,0,0,,,2,"109,689",4,"481,541",18,"798,837",,,2,"343,208",,,1,"99,500",,,1,"5,760",13,"799,428",1,"5,800",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,62,"6,451,731",91,"21,141,635",0,0,0,0,30,"5,335,139",15,"17,058,717",,,27,"3,036,974",1,"14,550",1,"5,000",,,1,"24,200",,,6,"183,639",31,"1,102,041",41,"833,106",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,3,,0,0,0,1,0,"25,300",,,,,70,"14,070,143",83,"17,003,542",0,0,0,0,5,"500,685",6,"106,347",5,"435,096",34,"7,619,117",5,"181,254",5,"319,174",1,"170,013",1,"33,628",2,"429,345",5,"348,203",52,"12,353,750",32,"8,577,072",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипак йўли банк,Бошқа ҳудуд банклари,75,11,"6,023,096","1,801,756",10,72,14,"6,170,404","519,530",,,,,368,"102,458,838",725,"175,349,781",0,0,0,0,79,"3,731,900",63,"9,926,883",30,"1,275,632",284,"41,800,346",90,"49,118,800",46,"8,292,752",10,"6,271,481",21,"19,365,234",13,"1,639,810",107,"12,493,944",146,"40,421,216",204,"83,470,623",12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,16,"2,112,954",12,"366,790",0,0,0,0,9,"1,340,019",11,"355,590",,,,,,,,,2,"614,343",,,,,,,5,"158,592",1,"11,200",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,220,"30,206,185",785,"111,512,504",0,0,0,0,56,"16,454,137",19,"751,050",1,"2,820",586,"70,028,608",35,"1,396,064",72,"29,977,666",1,"32,076",3,"423,185",2,"83,500",49,"2,594,003",125,"12,237,589",56,"7,737,993",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,42,"4,164,317",44,"2,764,321",0,0,0,0,23,"2,437,605",5,"114,004",,,4,"946,459",2,575,5,"215,000",,,,,2,"37,823",13,"912,801",15,"1,688,314",17,"576,058",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,10,"348,386",21,"3,260,143",0,0,0,0,1,"126,000",5,"141,506",,,6,"848,874",6,"87,592",1,"15,600",1,"42,211",,,1,"87,946",3,"324,717",1,"4,637",6,"1,929,446",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"27,674",11,"659,689",0,0,0,0,1,"27,674",3,"196,349",,,6,"267,340",,,,,,,,,,,2,"196,000",,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,3,,"883,317",,0,2,0,"36,780",0,,,,,52,"8,744,326",157,"31,406,827",0,0,0,0,11,"829,410",14,"292,486",,,59,"7,855,715",,,5,"169,120",,,4,"620,765",17,"1,809,419",13,"482,346",24,"6,105,497",62,"21,986,395",39,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туронбанк,Бошқа ҳудуд банклари,88,43,"24,766,028","2,871,756","6,600",226,77,"73,306,354","14,772,294",,,,,596,"102,449,714","1,637","281,076,610",0,0,0,0,147,"25,328,891",166,"36,304,599",37,"25,263,107",771,"160,578,517",80,"8,563,407",30,"4,609,531",9,"3,128,035",32,"8,094,912",20,"5,466,045",180,"9,526,927",303,"34,700,230",458,"61,962,123","3,615",,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,36,"15,380,968",17,"191,425",0,0,0,0,16,"11,914,025",1,"7,007",,,12,"171,730",,,,,,,,,,,,,20,"3,466,943",4,"12,688",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,1,,"1,800",,0,3,1,"18,780","6,000",,,,,99,"22,027,653",303,"25,237,895",0,0,0,0,22,"11,856,144",26,"3,575,297",,,155,"14,711,174",11,"1,958,382",12,"1,063,623",2,"642,999",3,"1,177,317",4,"417,786",13,"626,501",60,"7,152,341",94,"4,083,982",3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"605,191",2,"67,100",0,0,0,0,,,,,,,2,"67,100",,,,,,,,,,,,,3,"605,191",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,5,0,0,0,0,,,,,77,"6,691,897",165,"9,159,772",0,0,0,0,6,"424,782",29,"1,835,981",5,"75,300",97,"3,555,955",16,"787,136",10,"2,319,191",1,"16,416",,,5,"60,041",11,"614,609",44,"5,328,222",18,"834,036",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,,3,,0,0,0,0,0,0,,,,,147,"46,772,085",273,"114,095,243",0,0,0,0,51,"16,112,822",33,"18,947,487",16,"16,600,929",95,"27,866,664",11,"769,189",91,"51,715,548",,,2,"2,475,015",1,"97,988",24,"2,439,987",68,"13,191,157",28,"10,650,542",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,1,,"20,020",,0,0,0,0,0,,,,,94,"62,700,772",91,"6,187,351",0,0,0,0,7,"756,065",3,"73,445",8,"926,985",62,"5,494,747",16,"422,581",4,"332,689",1,"52,166",,,1,"6,892",2,"131,689",61,"60,536,083",20,"154,780",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туронбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"77,625",20,"966,945",0,0,0,0,,,13,"568,303",,,2,"60,865",,,1,"88,091",,,,,,,2,"44,141",1,"77,625",2,"205,545",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Трастбанк,Бошқа ҳудуд банклари,103,49,"13,982,509","5,277,877","14,040",97,49,"6,500,201","6,562,017",,,,,327,"22,754,542","1,074","155,285,138",0,0,0,0,46,"4,287,087",94,"28,895,959",7,"529,930",526,"57,006,423",87,"5,276,251",35,"7,796,137",3,"53,075",28,"6,478,158",5,"250,244",159,"18,719,757",179,"12,357,955",232,"36,388,704","14,302",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,37,"4,390,788",65,"9,001,687",0,0,0,0,8,"1,006,845",5,"421,412",14,"1,508,320",41,"7,884,892",2,"15,416",2,"60,495",1,"123,750",,,1,"14,599",2,"74,662",11,"1,721,858",15,"560,225",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,83,"20,751,974",82,"11,259,695",0,0,0,0,31,"17,473,344",11,"1,938,137",4,"579,781",53,"3,480,250",5,"609,885",,,2,"9,200",1,"2,700",1,"2,151",1,"7,173",40,"2,077,612",16,"5,831,435",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,12,"963,172",1,420,0,0,0,0,,,,,2,"117,376",,,8,"828,684",1,420,,,,,,,,,2,"17,112",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,3,,"91,000",,0,9,0,"659,889",0,,,,,106,"16,899,803",534,"31,394,020",0,0,0,0,44,"12,873,158",37,"3,640,988",1,"13,720",323,"15,864,986",16,"583,326",6,"585,255",1,"1,667",5,"311,926",1,"1,951",95,"4,323,016",43,"3,425,982",68,"6,667,849",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,2,,"32,210",,56,1,0,"10,500",0,,,,,20,"8,987,709",58,"7,447,961",0,0,0,0,8,"4,079,200",4,"18,146",,,35,"6,101,568",4,"2,124,508",1,"19,551",1,"220,469",1,"437,780",1,"310,679",,,6,"2,252,853",17,"870,916",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инфинбанк,Бошқа ҳудуд банклари,6,,"84,942",,0,1,0,"21,330",0,,,,,49,"10,140,088",280,"32,444,842",0,0,0,0,6,"4,528,665",5,"2,106,596",9,"940,165",130,"18,724,127",3,"548,963",11,"7,240,042",4,"572,446",1,"1,047",5,"664,494",7,"168,522",22,"2,885,355",126,"4,204,507",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,34,"7,119,490",53,"9,941,044",0,0,0,0,14,"5,866,005",3,"359,584",1,"17,600",26,"8,358,496",2,"53,903",1,"77,520",1,"11,500",1,"54,263",1,"40,410",7,"381,186",15,"1,130,071",15,"709,995",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
