Tuman nomi;Bank nomi;Bank MFo;VASHlar soni;2024 yil davomida Soni;2024 yil davomida Summasi; 2024 Õududdagi ulushi foizda;2024 Belgilangan toifa;2025 yil davomida Soni;2025 yil davomida Summasi;2025 Õududdagi ulushi foizda;2025 Belgilangan toifa;2024 yilda Sotuv Soni;2024 yilda Sotuv Summa;2024 yilda xarid Soni;2024 yilda xarid Summa;2025 yilda Sotuv Soni;2025 yilda Sotuv Summa;2025 yilda xarid Soni;2025 yilda xarid Summa; Farqi xarid Soni;Farqi xarid Summa;Farqi Sotuv Soni;Farqi Sotuv Summa;"Daromadi 
(ming so'mda)";Belgilangan toifa; VASh Manzili;Avtovash Bank;Avtovash filiali;Avtovash tuman;Avtovash Soni;Avtovash Manzili
;Asaka bank ;;1;519;2 183 321;;;2 002;8 072 422;11%;;519;2 183 321;;0;2 002;8 072 422;0;0;1 483;5 889 101;0;0;0;Samaradorligi past;Qibray tumani, A.Navoiy ko‘chasi 82-uy;Ipak yo'li bank;Yangiyo'l filiali;ZANGIOTA TUMANI;1;Zangiota tumani, Erkin MFY, Tarik teshar ko'chasi, 45 uy
;Õalq banki;11490;2;10 850;4 766 210;;;17 880;6 281 508;8%;;6 573;2 392 393;4 277;2 373 817;11 073;3 180 929;6 807;3 100 579;4 500;788 536;2 530;726 762;327 673;Barqaror;Qibray tumani, Qibray kurgoni, Zebuniso k., 5;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Dexqon bozori
QUYICHIRCHIQ TUMANI;;;3;31 805;12 645 050;1,31%; Samaradorligi past;29 698;10 792 406;1%; Samaradorligi past;19 574;7 541 311;12 231;5 103 739;18 578;5 901 299;11 120;4 891 107;-996;-1 640 012;-1 111;-212 633;3 114 546; Samaradorligi past;;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Dexqon bozori
;Agro bank;474;1;14 288;5 343 739;;;10 529;4 634 679;43%;;9 643;3 534 543;4 645;1 809 196;7 798;3 193 396;2 731;1 441 284;-1 845;-341 147;-1 914;-367 913;1 358 358;O'rtacha;Quyichirchiq tumani, Mashrab MFY, Archazor k., 154;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Õalkobod MFY Registon ko'chasi 5
;Ipoteka bank;1170;1;2 795;1 862 190;;;2 589;1 736 005;16%;;1 076;723 025;1 719;1 139 165;744;366 098;1 845;1 369 907;-332;-356 927;126;230 742;1 495 510;Samaradorligi past;Quyichirchiq tumani, Dustobod shaxarchasi, Oqqo'rg'on k., 1;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Õalkobod MFY Registon ko'chasi 5
;Õalq banki;10116;1;14 722;5 439 120;;;16 580;4 421 721;41%;;8 855;3 283 743;5 867;2 155 378;10 036;2 341 805;6 544;2 079 916;1 181;-941 937;677;-75 461;260 678;Samarador;Quyichirchiq tumani, Tinchlik MFY, Paxtazor k., 8;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri,Olimboy Kuchkarov ko'chasi
NURAFSHON SHAHRI;;;29;137 634;96 688 522;10,05%;Samarador;151 464;115 470 202;10%;Samarador;84 188;61 618 309;53 446;35 070 214;95 363;71 907 247;56 101;43 562 956;11 175;10 288 938;2 655;8 492 742;7 040 026;Samarador;;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri,Olimboy Kuchkarov ko'chasi
;Agro bank;475;1;14 537;8 752 231;;;11 184;6 944 001;6%;;9 459;5 742 072;5 078;3 010 159;7 530;4 318 813;3 654;2 625 188;-1 929;-1 423 259;-1 424;-384 971;1 600 208;Barqaror;Nurafshon shahri, Navruz maxallasi, Toshkent yuli k., 161;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri,Olimboy Kuchkarov ko'chasi
;BRB;10818;6;18 031;10 515 108;;;18 017;11 635 468;10%;;10 905;6 776 819;7 126;3 738 289;10 651;6 500 176;7 366;5 135 292;-254;-276 643;240;1 397 002;44 555;Barqaror; Nurafshon shahri, Mukumiy MFY, Toshkent yuli k., 143/150;Ipak yo'li bank;Yangiyo'l filiali;ZANGIOTA TUMANI;1;Zangiota tumani,Amir Temur ko'chasi 48 uy
;Asaka bank;12008;2;9 150;7 744 733;;;10 505;15 189 187;13%;;5 150;4 378 810;4 000;3 365 923;7 451;12 576 937;3 054;2 612 250;2 301;8 198 128;-946;-753 673;702 042;O'rtacha;Nurafshon shahri, Obod MFY, Toshkent yuli k., 50;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri 
;Kapitalbank;11303;1;348;205 566;;;1 085;537 178;0%;;340;201 375;8;4 191;766;351 726;319;185 452;426;150 352;311;181 261;;Samaradorligi past;Nurafshon shahri, Obod MFY, Toshkent yuli k., 38;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri 
;MKB;11786;2;5 699;5 690 969;;;12 668;8 456 216;7%;;3 723;4 694 734;1 976;996 235;8 107;5 394 544;4 561;3 061 672;4 384;699 810;2 585;2 065 438;370 000;O'rtacha;Nurafshon shahri, Kumarik MFY, Toshkent yuli k., 123;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri,Farovon MFY Anarkulov ko'chasi 20
